DATE,HCIYISLRA066NRUG
1964-01-01,1.1033202409744263
1965-01-01,1.1093205213546753
1966-01-01,1.1158064603805542
1967-01-01,1.1223303079605103
1968-01-01,1.128892183303833
1969-01-01,1.1354925632476807
1970-01-01,1.1421314477920532
1971-01-01,1.147728681564331
1972-01-01,1.1533533334732056
1973-01-01,1.1590056419372559
1974-01-01,1.164685606956482
1975-01-01,1.1703933477401733
1976-01-01,1.1818265914916992
1977-01-01,1.1933715343475342
1978-01-01,1.2050292491912842
1979-01-01,1.2168009281158447
1980-01-01,1.2286875247955322
1981-01-01,1.24495267868042
1982-01-01,1.2614331245422363
1983-01-01,1.2781318426132202
1984-01-01,1.2950514554977417
1985-01-01,1.3121951818466187
1986-01-01,1.3326137065887451
1987-01-01,1.3533499240875244
1988-01-01,1.3744088411331177
1989-01-01,1.395795464515686
1990-01-01,1.4175149202346802
1991-01-01,1.4363226890563965
1992-01-01,1.4553799629211426
1993-01-01,1.4746901988983154
1994-01-01,1.4942564964294434
1995-01-01,1.5140825510025024
1996-01-01,1.528951644897461
1997-01-01,1.5439667701721191
1998-01-01,1.5591293573379517
1999-01-01,1.574440836906433
2000-01-01,1.589902639389038
2001-01-01,1.6033787727355957
2002-01-01,1.616969108581543
2003-01-01,1.6306746006011963
2004-01-01,1.6444963216781616
2005-01-01,1.6584351062774658
2006-01-01,1.6724451780319214
2007-01-01,1.6865735054016113
2008-01-01,1.7008212804794312
2009-01-01,1.713701605796814
2010-01-01,1.7246019840240479
2011-01-01,1.7361090183258057
2012-01-01,1.7478798627853394
2013-01-01,1.7599221467971802
2014-01-01,1.7722432613372803
2015-01-01,1.78485107421875
2016-01-01,1.7977538108825684
2017-01-01,1.810959815979004
2018-01-01,1.8244779109954834
2019-01-01,1.8383169174194336
