DATE,HCIYISKEA066NRUG
1950-01-01,1.1436940431594849
1951-01-01,1.1492664813995361
1952-01-01,1.1548659801483154
1953-01-01,1.1604928970336914
1954-01-01,1.1661471128463745
1955-01-01,1.1718289852142334
1956-01-01,1.176810383796692
1957-01-01,1.1818130016326904
1958-01-01,1.1868369579315186
1959-01-01,1.1918821334838867
1960-01-01,1.1969488859176636
1961-01-01,1.205653190612793
1962-01-01,1.2144207954406738
1963-01-01,1.223252296447754
1964-01-01,1.2321478128433228
1965-01-01,1.2411081790924072
1966-01-01,1.2501336336135864
1967-01-01,1.2592246532440186
1968-01-01,1.268381953239441
1969-01-01,1.277605652809143
1970-01-01,1.2868965864181519
1971-01-01,1.3042500019073486
1972-01-01,1.3218375444412231
1973-01-01,1.3396621942520142
1974-01-01,1.3577271699905396
1975-01-01,1.3760358095169067
1976-01-01,1.3945913314819336
1977-01-01,1.413396954536438
1978-01-01,1.4324562549591064
1979-01-01,1.4517725706100464
1980-01-01,1.4713493585586548
1981-01-01,1.4932560920715332
1982-01-01,1.515489101409912
1983-01-01,1.538053035736084
1984-01-01,1.56095290184021
1985-01-01,1.5841937065124512
1986-01-01,1.6077805757522583
1987-01-01,1.631718635559082
1988-01-01,1.6560131311416626
1989-01-01,1.6806693077087402
1990-01-01,1.7056925296783447
1991-01-01,1.728196620941162
1992-01-01,1.750123143196106
1993-01-01,1.7723276615142822
1994-01-01,1.7948139905929565
1995-01-01,1.8175855875015259
1996-01-01,1.8406460285186768
1997-01-01,1.8639991283416748
1998-01-01,1.8876484632492065
1999-01-01,1.9115979671478271
2000-01-01,1.9358512163162231
2001-01-01,1.9577125310897827
2002-01-01,1.979820728302002
2003-01-01,2.00217866897583
2004-01-01,2.0247888565063477
2005-01-01,2.047654628753662
2006-01-01,2.0707786083221436
2007-01-01,2.094163656234741
2008-01-01,2.1178126335144043
2009-01-01,2.1417288780212402
2010-01-01,2.165915012359619
2011-01-01,2.1852948665618896
2012-01-01,2.204848051071167
2013-01-01,2.224575996398926
2014-01-01,2.244480609893799
2015-01-01,2.2645633220672607
2016-01-01,2.2848258018493652
2017-01-01,2.305269479751587
2018-01-01,2.3258960247039795
2019-01-01,2.346707344055176
